k1,b,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
0.500000,0.000000,163,0.200000,0.666667,0.307692,0.199405,0.250000,0.358534,3.000000
0.500000,0.000000,164,0.500000,0.625000,0.555556,0.623378,1.000000,0.823046,8.000000
0.500000,0.000000,165,0.200000,1.000000,0.333333,0.500000,0.500000,0.650921,2.000000
0.500000,0.000000,166,0.000000,0.000000,0.000000,0.034919,0.076923,0.000000,8.000000
0.500000,0.000000,167,0.200000,1.000000,0.333333,1.000000,1.000000,1.000000,2.000000
0.500000,0.000000,168,0.000000,0.000000,0.000000,0.051012,0.083333,0.000000,2.000000
0.500000,0.000000,169,0.200000,0.500000,0.285714,0.220250,0.333333,0.363318,4.000000
0.500000,0.000000,170,0.400000,0.666667,0.500000,0.452077,0.500000,0.541497,6.000000
0.500000,0.000000,171,0.300000,1.000000,0.461538,0.531746,0.500000,0.692890,3.000000
0.500000,0.000000,172,0.400000,1.000000,0.571429,0.679167,0.500000,0.624212,4.000000
0.500000,0.000000,173,0.200000,1.000000,0.333333,1.000000,1.000000,1.000000,2.000000
0.500000,0.000000,174,0.000000,0.000000,0.000000,0.035643,0.076923,0.000000,5.000000
0.500000,0.000000,175,0.000000,0.000000,0.000000,0.040413,0.076923,0.000000,5.000000
0.500000,0.000000,176,0.000000,0.000000,0.000000,0.043020,0.066667,0.000000,7.000000
0.500000,0.000000,177,0.300000,0.600000,0.400000,0.631061,1.000000,0.803814,5.000000
0.500000,0.000000,178,0.300000,0.750000,0.428571,0.506250,1.000000,0.880991,4.000000
0.500000,0.000000,179,0.200000,0.500000,0.285714,0.450368,1.000000,0.585570,4.000000
0.500000,0.000000,180,0.300000,0.428571,0.352941,0.391880,0.500000,0.419019,7.000000
0.500000,0.000000,181,0.100000,0.200000,0.133333,0.242643,1.000000,0.172721,5.000000
0.500000,0.000000,182,0.200000,1.000000,0.333333,0.833333,1.000000,0.976748,2.000000
0.500000,0.000000,183,0.700000,0.538462,0.608696,0.596802,1.000000,0.483158,13.000000
0.500000,0.000000,184,0.200000,0.285714,0.235294,0.314121,1.000000,0.334787,7.000000
0.500000,0.000000,185,0.600000,0.666667,0.631579,0.785055,1.000000,0.811904,9.000000
0.500000,0.000000,186,0.200000,0.125000,0.153846,0.115719,0.200000,0.148764,16.000000
0.500000,0.000000,187,0.200000,0.333333,0.250000,0.151399,0.500000,0.239986,6.000000
0.500000,0.000000,188,0.500000,0.454545,0.476190,0.357518,1.000000,0.560031,11.000000
0.500000,0.000000,189,0.100000,0.111111,0.105263,0.084528,0.142857,0.048344,9.000000
0.500000,0.000000,190,0.200000,0.400000,0.266667,0.324252,1.000000,0.274295,5.000000
0.500000,0.000000,191,0.300000,0.230769,0.260870,0.258729,0.125000,0.160778,13.000000
0.500000,0.000000,192,0.300000,0.750000,0.428571,0.705357,1.000000,0.804810,4.000000
0.500000,0.000000,193,0.700000,0.777778,0.736842,0.785587,1.000000,0.823822,9.000000
0.500000,0.000000,194,0.200000,0.333333,0.250000,0.197798,0.250000,0.179982,6.000000
0.500000,0.000000,195,0.100000,0.333333,0.153846,0.193088,0.500000,0.296082,3.000000
0.500000,0.000000,196,0.100000,0.083333,0.090909,0.057409,0.200000,0.045647,12.000000
0.500000,0.000000,197,0.200000,0.666667,0.307692,0.538462,1.000000,0.578741,3.000000
0.500000,0.000000,198,0.200000,0.500000,0.285714,0.376153,1.000000,0.487588,4.000000
0.500000,0.000000,199,0.100000,0.125000,0.111111,0.105965,0.333333,0.085949,8.000000
0.500000,0.000000,200,0.100000,0.333333,0.153846,0.188959,0.333333,0.234639,3.000000
0.500000,0.000000,201,0.400000,0.250000,0.307692,0.292742,1.000000,0.580023,16.000000
0.500000,0.000000,202,0.300000,0.214286,0.250000,0.186069,1.000000,0.197049,14.000000
0.500000,0.000000,203,0.200000,0.142857,0.166667,0.165803,1.000000,0.380725,14.000000
0.500000,0.000000,204,0.000000,0.000000,0.000000,0.036382,0.027778,0.000000,14.000000
0.500000,0.000000,205,0.200000,1.000000,0.333333,0.666667,1.000000,0.831555,2.000000
0.500000,0.000000,206,0.200000,0.666667,0.307692,0.301890,0.500000,0.551579,3.000000
0.500000,0.000000,207,0.100000,0.200000,0.133333,0.076190,0.166667,0.170838,5.000000
0.500000,0.000000,208,0.600000,1.000000,0.750000,0.635714,0.500000,0.716543,6.000000
0.500000,0.000000,209,0.100000,0.083333,0.090909,0.111791,0.500000,0.103187,12.000000
0.500000,0.000000,210,0.200000,0.333333,0.250000,0.356512,1.000000,0.492365,6.000000
0.500000,0.000000,211,0.100000,0.090909,0.095238,0.127702,0.142857,0.137545,11.000000
0.500000,0.000000,212,0.500000,0.357143,0.416667,0.449463,1.000000,0.455202,14.000000
0.500000,0.000000,213,0.500000,0.454545,0.476190,0.534000,1.000000,0.529420,11.000000
0.500000,0.000000,214,0.100000,0.250000,0.142857,0.109063,0.333333,0.195190,4.000000
0.500000,0.000000,215,0.000000,0.000000,0.000000,0.034897,0.043478,0.000000,2.000000
0.500000,0.000000,216,0.000000,0.000000,0.000000,0.002577,0.002577,0.000000,1.000000
0.500000,0.000000,217,0.300000,0.200000,0.240000,0.203270,0.500000,0.171817,15.000000
0.500000,0.000000,218,0.400000,0.266667,0.320000,0.253981,0.250000,0.330648,15.000000
0.500000,0.000000,219,0.000000,0.000000,0.000000,0.035089,0.027027,0.000000,18.000000
0.500000,0.000000,220,0.200000,0.105263,0.137931,0.152774,0.500000,0.115283,19.000000
0.500000,0.000000,221,0.300000,0.166667,0.214286,0.203514,1.000000,0.248258,18.000000
0.500000,0.000000,222,0.600000,0.666667,0.631579,0.830495,1.000000,0.776947,9.000000
0.500000,0.000000,223,0.300000,0.750000,0.428571,0.556090,0.500000,0.609620,4.000000
0.500000,0.000000,224,0.100000,0.125000,0.111111,0.117636,0.166667,0.095162,8.000000
0.500000,0.000000,225,0.200000,0.083333,0.117647,0.089905,1.000000,0.090276,24.000000
0.500000,0.750000,1,0.400000,0.142857,0.210526,0.169673,0.500000,0.219349,28.000000
0.500000,0.750000,2,0.500000,0.208333,0.294118,0.254610,1.000000,0.687924,24.000000
0.500000,0.750000,3,0.600000,0.750000,0.666667,0.608694,0.500000,0.656957,8.000000
0.500000,0.750000,4,0.100000,0.500000,0.166667,0.273810,0.500000,0.386853,2.000000
0.500000,0.750000,5,0.300000,0.750000,0.428571,0.504870,1.000000,0.530531,4.000000
0.500000,0.750000,6,0.100000,0.250000,0.142857,0.158242,0.500000,0.161987,4.000000
0.500000,0.750000,7,0.200000,0.400000,0.266667,0.136359,0.250000,0.195553,5.000000
0.500000,0.750000,8,0.100000,0.090909,0.095238,0.145438,1.000000,0.306046,11.000000
0.500000,0.750000,9,0.300000,1.000000,0.461538,0.588889,0.500000,0.712263,3.000000
0.500000,0.750000,10,0.100000,0.125000,0.111111,0.144241,0.500000,0.102958,8.000000
0.500000,0.750000,11,0.100000,0.142857,0.117647,0.131059,0.125000,0.108021,7.000000
0.500000,0.750000,12,0.200000,0.400000,0.266667,0.248277,0.500000,0.262219,5.000000
0.500000,0.750000,13,0.000000,0.000000,0.000000,0.007837,0.004808,0.000000,4.000000
0.500000,0.750000,14,0.200000,1.000000,0.333333,0.600000,1.000000,0.978129,2.000000
0.500000,0.750000,15,0.200000,1.000000,0.333333,1.000000,1.000000,0.737826,2.000000
0.500000,0.750000,16,0.100000,0.333333,0.153846,0.193343,0.500000,0.182125,3.000000
0.500000,0.750000,17,0.100000,0.500000,0.166667,0.078571,0.142857,0.262385,2.000000
0.500000,0.750000,18,0.100000,0.333333,0.153846,0.355225,1.000000,0.469279,3.000000
0.500000,0.750000,19,0.100000,0.111111,0.105263,0.040233,0.200000,0.135032,9.000000
0.500000,0.750000,20,0.400000,0.444444,0.421053,0.489417,0.500000,0.457977,9.000000
0.500000,0.750000,21,0.000000,0.000000,0.000000,0.034104,0.043478,0.000000,4.000000
0.500000,0.750000,22,0.000000,0.000000,0.000000,0.001647,0.001647,0.000000,1.000000
0.500000,0.750000,23,0.300000,0.093750,0.142857,0.190068,0.333333,0.245255,32.000000
0.500000,0.750000,24,0.200000,0.666667,0.307692,0.354167,0.500000,0.575329,3.000000
0.500000,0.750000,25,0.600000,0.666667,0.631579,0.671671,1.000000,0.701134,9.000000
0.500000,0.750000,26,0.200000,0.333333,0.250000,0.182462,0.500000,0.421965,6.000000
0.500000,0.750000,27,0.200000,0.666667,0.307692,0.281136,0.500000,0.406640,3.000000
0.500000,0.750000,28,0.000000,0.000000,0.000000,0.004202,0.003731,0.000000,2.000000
0.500000,0.750000,29,0.400000,0.444444,0.421053,0.462960,1.000000,0.437322,9.000000
0.500000,0.750000,30,0.100000,0.142857,0.117647,0.128809,0.500000,0.235283,7.000000
0.500000,0.750000,31,0.000000,0.000000,0.000000,0.000923,0.000923,0.000000,1.000000
0.500000,0.750000,32,0.200000,0.333333,0.250000,0.082021,0.200000,0.056511,6.000000
0.500000,0.750000,33,0.300000,1.000000,0.461538,0.638889,0.500000,0.634729,3.000000
0.500000,0.750000,34,0.200000,0.333333,0.250000,0.176342,0.111111,0.080783,6.000000
0.500000,0.750000,35,0.000000,0.000000,0.000000,0.026243,0.033333,0.000000,3.000000
0.500000,0.750000,36,0.100000,0.500000,0.166667,0.502646,1.000000,0.337352,2.000000
0.500000,0.750000,37,0.000000,0.000000,0.000000,0.061719,0.043478,0.000000,9.000000
0.500000,0.750000,38,0.100000,0.100000,0.100000,0.058730,0.142857,0.086412,10.000000
0.500000,0.750000,39,0.200000,0.153846,0.173913,0.111322,0.333333,0.177123,13.000000
0.500000,0.750000,40,0.200000,0.166667,0.181818,0.105227,0.200000,0.079098,12.000000
0.500000,0.750000,41,0.300000,1.000000,0.461538,0.777778,1.000000,0.855815,3.000000
0.500000,0.750000,42,0.300000,0.600000,0.400000,0.164192,0.166667,0.361230,5.000000
0.500000,0.750000,43,0.400000,0.666667,0.500000,0.514659,1.000000,0.846777,6.000000
0.500000,0.750000,44,0.000000,0.000000,0.000000,0.002488,0.001355,0.000000,3.000000
0.500000,0.750000,45,0.200000,0.166667,0.181818,0.204300,1.000000,0.400341,12.000000
0.500000,0.750000,46,0.500000,0.333333,0.400000,0.358975,0.500000,0.443951,15.000000
0.500000,0.750000,47,0.500000,0.357143,0.416667,0.376579,0.333333,0.394730,14.000000
0.500000,0.750000,48,0.300000,0.272727,0.285714,0.251608,0.500000,0.422858,11.000000
0.500000,0.750000,49,0.100000,0.500000,0.166667,0.074423,0.111111,0.248721,2.000000
0.500000,0.750000,50,0.100000,0.166667,0.125000,0.044458,0.166667,0.190482,6.000000
0.500000,0.750000,51,0.600000,0.600000,0.600000,0.464453,1.000000,0.412655,10.000000
0.500000,0.750000,52,0.300000,0.750000,0.428571,0.455556,0.500000,0.413994,4.000000
0.500000,0.750000,53,0.300000,0.300000,0.300000,0.301455,1.000000,0.294799,10.000000
0.500000,0.750000,54,0.100000,0.111111,0.105263,0.154785,0.500000,0.284377,9.000000
0.500000,0.750000,55,0.400000,0.400000,0.400000,0.201860,0.200000,0.236932,10.000000
0.500000,0.750000,56,0.200000,0.200000,0.200000,0.145971,0.500000,0.150168,10.000000
0.500000,0.750000,57,0.100000,0.071429,0.083333,0.070705,0.166667,0.182446,14.000000
0.500000,0.750000,58,0.000000,0.000000,0.000000,0.113980,0.090909,0.000000,9.000000
0.500000,0.750000,59,0.200000,0.500000,0.285714,0.242311,0.500000,0.261309,4.000000
0.500000,0.750000,60,0.300000,0.600000,0.400000,0.346339,0.500000,0.310787,5.000000
0.500000,0.750000,61,0.200000,0.400000,0.266667,0.461039,1.000000,0.445346,5.000000
0.500000,0.750000,62,0.000000,0.000000,0.000000,0.023150,0.055556,0.000000,5.000000
0.500000,0.750000,63,0.000000,0.000000,0.000000,0.048224,0.041667,0.000000,3.000000
0.500000,0.750000,64,0.100000,0.500000,0.166667,0.519608,1.000000,0.772538,2.000000
0.500000,0.750000,65,0.300000,0.200000,0.240000,0.159737,0.500000,0.288818,15.000000
0.500000,0.750000,66,0.100000,0.200000,0.133333,0.076984,0.200000,0.176196,5.000000
0.500000,0.750000,67,0.400000,0.285714,0.333333,0.284328,0.500000,0.319477,14.000000
0.500000,0.750000,68,0.100000,0.200000,0.133333,0.053716,0.125000,0.171910,5.000000
0.500000,0.750000,69,0.100000,0.200000,0.133333,0.039153,0.100000,0.138636,5.000000
0.500000,0.750000,70,0.100000,0.100000,0.100000,0.079484,0.166667,0.079666,10.000000
0.500000,0.750000,71,0.100000,0.125000,0.111111,0.096489,0.500000,0.245668,8.000000
